TYPE,FULLCODE,STATE,COUNTY,TRACT,BLOCK,PLACE,COUSUB,CONCITY,AIANNH,SHEETS
Block,410030009002015,41,3,9,2015,15800,90680,,,"1,2"
Block,410030009002016,41,3,9,2016,15800,90680,,,"1,2"
Block,410030009002017,41,3,9,2017,15800,90680,,,1
Block,410030009002018,41,3,9,2018,15800,90680,,,1
Block,410030009002019,41,3,9,2019,15800,90680,,,1
Block,410030009002020,41,3,9,2020,15800,90680,,,"1,2"
Block,410030009003000,41,3,9,3000,15800,90680,,,1
Block,410030009003001,41,3,9,3001,15800,90680,,,1
Block,410030009003002,41,3,9,3002,15800,90680,,,1
Block,410030009003003,41,3,9,3003,15800,90680,,,1
Block,410030009003004,41,3,9,3004,15800,90680,,,1
Block,410030009003005,41,3,9,3005,15800,90680,,,1
Block,410030009003007,41,3,9,3007,15800,90680,,,1
Block,410030009003008,41,3,9,3008,15800,90680,,,1
Block,410030009003009,41,3,9,3009,15800,90680,,,1
Block,410030009003010,41,3,9,3010,15800,90680,,,1
Block,410030009003011,41,3,9,3011,15800,90680,,,1
Block,410030009003012,41,3,9,3012,15800,90680,,,1
Block,410030009004004,41,3,9,4004,15800,90680,,,1
Block,410030009004010,41,3,9,4010,15800,90680,,,1
Block,410030009004013,41,3,9,4013,15800,90680,,,1
Block,410030009004014,41,3,9,4014,15800,90680,,,1
Block,410030009004015,41,3,9,4015,15800,90680,,,1
Block,410030009004016,41,3,9,4016,15800,90680,,,1
Block,410030009004017,41,3,9,4017,15800,90680,,,1
Block,410030009004018,41,3,9,4018,15800,90680,,,1
Block,410030009004019,41,3,9,4019,15800,90680,,,1
Block,410030009004020,41,3,9,4020,15800,90680,,,1
Block,410030009005000,41,3,9,5000,15800,90680,,,1
Block,410030009005001,41,3,9,5001,15800,90680,,,1
Block,410030009005002,41,3,9,5002,15800,90680,,,1
Block,410030009005003,41,3,9,5003,15800,90680,,,1
Block,410030009005004,41,3,9,5004,15800,90680,,,1
Block,410030009005005,41,3,9,5005,15800,90680,,,1
Block,410030009005006,41,3,9,5006,15800,90680,,,1
Block,410030009005007,41,3,9,5007,15800,90680,,,1
Block,410030009005008,41,3,9,5008,15800,90680,,,1
Block,410030009005009,41,3,9,5009,15800,90680,,,1
Block,410030009005010,41,3,9,5010,15800,90680,,,1
Block,410030009005011,41,3,9,5011,15800,90680,,,1
Block,410030009005012,41,3,9,5012,15800,90680,,,1
Block,410030009005013,41,3,9,5013,15800,90680,,,1
Block,410030009005014,41,3,9,5014,15800,90680,,,1
Block,410030009005015,41,3,9,5015,15800,90680,,,1
Block,410030009005016,41,3,9,5016,15800,90680,,,1
Block,410030009005017,41,3,9,5017,15800,90680,,,1
Block,410030009005018,41,3,9,5018,15800,90680,,,1
Block,410030009005019,41,3,9,5019,15800,90680,,,1
Block,410030009005020,41,3,9,5020,15800,90680,,,1
Block,410030009005021,41,3,9,5021,15800,90680,,,1
Block,410030009005022,41,3,9,5022,15800,90680,,,1
Block,410030009005023,41,3,9,5023,15800,90680,,,1
Block,410030009005024,41,3,9,5024,15800,90680,,,1
Block,410030009005025,41,3,9,5025,15800,90680,,,1
Block,410030009005026,41,3,9,5026,15800,90680,,,1
Block,410030010011000,41,3,10.01,1000,15800,90680,,,2
Block,410030010011001,41,3,10.01,1001,15800,90680,,,2
Block,410030010011002,41,3,10.01,1002,15800,90680,,,2
Block,410030010011003,41,3,10.01,1003,15800,90680,,,2
Block,410030010011004,41,3,10.01,1004,15800,90680,,,2
Block,410030010011005,41,3,10.01,1005,15800,90680,,,2
Block,410030010011006,41,3,10.01,1006,15800,90680,,,2
Block,410030010011007,41,3,10.01,1007,15800,90680,,,2
Block,410030010011008,41,3,10.01,1008,15800,90680,,,2
Block,410030010011009,41,3,10.01,1009,15800,90680,,,2
Block,410030010011010,41,3,10.01,1010,15800,90680,,,2
Block,410030010011011,41,3,10.01,1011,15800,90680,,,2
Block,410030010012000,41,3,10.01,2000,15800,90680,,,2
Block,410030010012001,41,3,10.01,2001,15800,90680,,,2
Block,410030010012002,41,3,10.01,2002,15800,90680,,,2
Block,410030010012003,41,3,10.01,2003,15800,90680,,,2
Block,410030010012004,41,3,10.01,2004,15800,90680,,,2
Block,410030010012005,41,3,10.01,2005,15800,90680,,,2
Block,410030010012006,41,3,10.01,2006,15800,90680,,,2
Block,410030010012007,41,3,10.01,2007,15800,90680,,,2
Block,410030010013000,41,3,10.01,3000,15800,90680,,,2
Block,410030010013001,41,3,10.01,3001,15800,90680,,,2
Block,410030010013002,41,3,10.01,3002,15800,90680,,,2
Block,410030010013003,41,3,10.01,3003,15800,90680,,,2
Block,410030010013004,41,3,10.01,3004,15800,90680,,,2
Block,410030010013005,41,3,10.01,3005,15800,90680,,,2
Block,410030010013006,41,3,10.01,3006,15800,90680,,,2
Block,410030010013007,41,3,10.01,3007,15800,90680,,,2
Block,410030010013008,41,3,10.01,3008,15800,90680,,,2
Block,410030010013009,41,3,10.01,3009,15800,90680,,,2
Block,410030010013010,41,3,10.01,3010,15800,90680,,,2
Block,410030010013011,41,3,10.01,3011,15800,90680,,,2
Block,410030010013012,41,3,10.01,3012,15800,90680,,,2
Block,410030010021000,41,3,10.02,1000,15800,90680,,,2
Block,410030010021001,41,3,10.02,1001,15800,90680,,,2
Block,410030010021002,41,3,10.02,1002,15800,90680,,,2
Block,410030010021003,41,3,10.02,1003,15800,90680,,,2
Block,410030010021004,41,3,10.02,1004,15800,90680,,,2
Block,410030010021005,41,3,10.02,1005,15800,90680,,,2
Block,410030010021006,41,3,10.02,1006,15800,90680,,,2
Block,410030010021007,41,3,10.02,1007,15800,90680,,,2
Block,410030010021008,41,3,10.02,1008,15800,90680,,,2
Block,410030010021009,41,3,10.02,1009,15800,90680,,,2
Block,410030010021010,41,3,10.02,1010,15800,90680,,,2
Block,410030010021011,41,3,10.02,1011,15800,90680,,,2
Block,410030010021012,41,3,10.02,1012,15800,90680,,,2
Block,410030010021013,41,3,10.02,1013,15800,90680,,,2
Block,410030010021014,41,3,10.02,1014,15800,90680,,,2
Block,410030010022000,41,3,10.02,2000,15800,90680,,,2
Block,410030010022001,41,3,10.02,2001,15800,90680,,,2
Block,410030010022002,41,3,10.02,2002,15800,90680,,,2
Block,410030010022003,41,3,10.02,2003,15800,90680,,,2
Block,410030010022004,41,3,10.02,2004,15800,90680,,,2
Block,410030010022005,41,3,10.02,2005,15800,90680,,,2
Block,410030010022006,41,3,10.02,2006,15800,90680,,,2
Block,410030010022007,41,3,10.02,2007,15800,90680,,,2
Block,410030010022008,41,3,10.02,2008,15800,90680,,,2
Block,410030010022009,41,3,10.02,2009,15800,90680,,,2
Block,410030010022010,41,3,10.02,2010,15800,90680,,,2
Block,410030010022011,41,3,10.02,2011,15800,90680,,,2
Block,410030010022012,41,3,10.02,2012,15800,90680,,,2
Block,410030010022013,41,3,10.02,2013,15800,90680,,,2
Block,410030010022014,41,3,10.02,2014,15800,90680,,,2
Block,410030010022015,41,3,10.02,2015,15800,90680,,,2
Block,410030010022016,41,3,10.02,2016,15800,90680,,,2
Block,410030010022017,41,3,10.02,2017,15800,90680,,,2
Block,410030010022018,41,3,10.02,2018,15800,90680,,,2
Block,410030010023000,41,3,10.02,3000,15800,90680,,,2
Block,410030010023001,41,3,10.02,3001,15800,90680,,,2
Block,410030010023002,41,3,10.02,3002,15800,90680,,,2
Block,410030010023003,41,3,10.02,3003,15800,90680,,,2
Block,410030010023004,41,3,10.02,3004,15800,90680,,,2
Block,410030010023005,41,3,10.02,3005,15800,90680,,,2
Block,410030010023006,41,3,10.02,3006,15800,90680,,,2
Block,410030010023007,41,3,10.02,3007,15800,90680,,,2
Block,410030010023008,41,3,10.02,3008,15800,90680,,,2
Block,410030010023009,41,3,10.02,3009,15800,90680,,,2
Block,410030010023010,41,3,10.02,3010,15800,90680,,,2
Block,410030010023011,41,3,10.02,3011,15800,90680,,,2
Block,410030010023012,41,3,10.02,3012,15800,90680,,,2
Block,410030010023013,41,3,10.02,3013,15800,90680,,,2
Block,410030011011000,41,3,11.01,1000,15800,90680,,,2
Block,410030011011001,41,3,11.01,1001,15800,90680,,,2
Block,410030011011002,41,3,11.01,1002,15800,90680,,,2
Block,410030011011003,41,3,11.01,1003,15800,90680,,,2
Block,410030011011004,41,3,11.01,1004,15800,90680,,,2
Block,410030011011005,41,3,11.01,1005,15800,90680,,,2
Block,410030011011006,41,3,11.01,1006,15800,90680,,,2
Block,410030011011007,41,3,11.01,1007,15800,90680,,,2
Block,410030011011008,41,3,11.01,1008,15800,90680,,,2
Block,410030011011009,41,3,11.01,1009,15800,90680,,,2
Block,410030011011010,41,3,11.01,1010,15800,90680,,,2
Block,410030011011011,41,3,11.01,1011,15800,90680,,,2
Block,410030011011012,41,3,11.01,1012,15800,90680,,,2
Block,410030011011013,41,3,11.01,1013,15800,90680,,,2
Block,410030011011014,41,3,11.01,1014,15800,90680,,,2
Block,410030011011015,41,3,11.01,1015,15800,90680,,,2
Block,410030011011016,41,3,11.01,1016,15800,90680,,,2
Block,410030011011017,41,3,11.01,1017,15800,90680,,,2
Block,410030011012000,41,3,11.01,2000,15800,90680,,,2
Block,410030011012001,41,3,11.01,2001,15800,90680,,,2
Block,410030011012002,41,3,11.01,2002,15800,90680,,,2
Block,410030011012003,41,3,11.01,2003,15800,90680,,,2
Block,410030011012004,41,3,11.01,2004,15800,90680,,,2
Block,410030011012005,41,3,11.01,2005,15800,90680,,,2
Block,410030011012006,41,3,11.01,2006,15800,90680,,,2
Block,410030011012007,41,3,11.01,2007,15800,90680,,,2
Block,410030011012008,41,3,11.01,2008,15800,90680,,,2
Block,410030011012009,41,3,11.01,2009,15800,90680,,,2
Block,410030011012010,41,3,11.01,2010,15800,90680,,,2
Block,410030011012011,41,3,11.01,2011,15800,90680,,,2
Block,410030011013000,41,3,11.01,3000,15800,90680,,,2
Block,410030011013001,41,3,11.01,3001,15800,90680,,,2
Block,410030011013002,41,3,11.01,3002,15800,90680,,,2
Block,410030011013003,41,3,11.01,3003,15800,90680,,,2
Block,410030011013004,41,3,11.01,3004,15800,90680,,,2
Block,410030011013005,41,3,11.01,3005,15800,90680,,,2
